run,rsi_long_threshold,rsi_short_threshold,pullback_max_pct,stop_loss_pct,take_profit_max_pct,trailing_stop_pct,typical_position_fraction,cagr,sharpe,max_dd,daily_vol,trades,final_equity,start,end
97,55.0,55.0,0.05,0.08,0.12,0.05,0.15,0.022420102109106832,0.5902679372312246,-0.06712018873249337,0.0024470269184407993,121,12757.639601211216,2014-01-02,2024-12-31
96,55.0,55.0,0.05,0.08,0.12,0.05,0.1,0.015078273823490695,0.5905377559945296,-0.04484354172033456,0.0016323243625691842,121,11786.685350239559,2014-01-02,2024-12-31
69,55.0,50.0,0.05,0.08,0.15,0.05,0.15,0.01407148946129233,0.3448538991024089,-0.08149679843525903,0.0027235404955540023,148,11658.91063625397,2014-01-02,2024-12-31
77,55.0,50.0,0.05,0.1,0.15,0.05,0.15,0.01407148946129233,0.3448538991024089,-0.08149679843525903,0.0027235404955540023,148,11658.91063625397,2014-01-02,2024-12-31
99,55.0,55.0,0.05,0.08,0.12,0.07,0.15,0.01351174506208297,0.3479222703012248,-0.1250068813057149,0.0025826092749417994,114,11588.41725677283,2014-01-02,2024-12-31
85,55.0,50.0,0.08,0.08,0.15,0.05,0.15,0.011461519162462075,0.2783287871219691,-0.09639480625524666,0.0028039422832577534,154,11333.510497995672,2014-01-02,2024-12-31
93,55.0,50.0,0.08,0.1,0.15,0.05,0.15,0.011461519162462075,0.2783287871219691,-0.09639480625524666,0.0028039422832577534,154,11333.510497995672,2014-01-02,2024-12-31
68,55.0,50.0,0.05,0.08,0.15,0.05,0.1,0.009601728077617944,0.3457637038787149,-0.05476069722472454,0.0018168447911419967,148,11106.700563863717,2014-01-02,2024-12-31
76,55.0,50.0,0.05,0.1,0.15,0.05,0.1,0.009601728077617944,0.3457637038787149,-0.05476069722472454,0.0018168447911419967,148,11106.700563863717,2014-01-02,2024-12-31
98,55.0,55.0,0.05,0.08,0.12,0.07,0.1,0.00920307172353696,0.3487709214168331,-0.0846882932271954,0.0017222615657651646,114,11058.622905718996,2014-01-02,2024-12-31
71,55.0,50.0,0.05,0.08,0.15,0.07,0.15,0.00818078801953015,0.19955073808035642,-0.12463762595309003,0.002909136032955635,135,10936.199501170679,2014-01-02,2024-12-31
79,55.0,50.0,0.05,0.1,0.15,0.07,0.15,0.00818078801953015,0.19955073808035642,-0.12463762595309003,0.002909136032955635,135,10936.199501170679,2014-01-02,2024-12-31
65,55.0,50.0,0.05,0.08,0.12,0.05,0.15,0.007941759356297817,0.20844796291094886,-0.08899083872453983,0.0026604717840534474,148,10907.752952641724,2014-01-02,2024-12-31
73,55.0,50.0,0.05,0.1,0.12,0.05,0.15,0.007941759356297817,0.20844796291094886,-0.08899083872453983,0.0026604717840534474,148,10907.752952641724,2014-01-02,2024-12-31
84,55.0,50.0,0.08,0.08,0.15,0.05,0.1,0.007873840387103925,0.2789972524927958,-0.0648626587382597,0.001870506822567791,154,10899.682267574937,2014-01-02,2024-12-31
92,55.0,50.0,0.08,0.1,0.15,0.05,0.1,0.007873840387103925,0.2789972524927958,-0.0648626587382597,0.001870506822567791,154,10899.682267574937,2014-01-02,2024-12-31
70,55.0,50.0,0.05,0.08,0.15,0.07,0.1,0.005730563423540058,0.200949758379218,-0.08447600630219232,0.0019401116264971228,135,10647.7719061049,2014-01-02,2024-12-31
78,55.0,50.0,0.05,0.1,0.15,0.07,0.1,0.005730563423540058,0.200949758379218,-0.08447600630219232,0.0019401116264971228,135,10647.7719061049,2014-01-02,2024-12-31
64,55.0,50.0,0.05,0.08,0.12,0.05,0.1,0.005502177278337683,0.208892877194755,-0.059937221285751296,0.0017744423438338164,148,10621.242952487535,2014-01-02,2024-12-31
72,55.0,50.0,0.05,0.1,0.12,0.05,0.1,0.005502177278337683,0.208892877194755,-0.059937221285751296,0.0017744423438338164,148,10621.242952487535,2014-01-02,2024-12-31
81,55.0,50.0,0.08,0.08,0.12,0.05,0.15,0.005347565473312166,0.1443007454155599,-0.08686066842004192,0.0027426346151732213,154,10603.31762162202,2014-01-02,2024-12-31
89,55.0,50.0,0.08,0.1,0.12,0.05,0.15,0.005347565473312166,0.1443007454155599,-0.08686066842004192,0.0027426346151732213,154,10603.31762162202,2014-01-02,2024-12-31
80,55.0,50.0,0.08,0.08,0.12,0.05,0.1,0.003781305783582267,0.14450183475084977,-0.058475798997295825,0.001829289205793416,154,10423.273122667204,2014-01-02,2024-12-31
88,55.0,50.0,0.08,0.1,0.12,0.05,0.1,0.003781305783582267,0.14450183475084977,-0.058475798997295825,0.001829289205793416,154,10423.273122667204,2014-01-02,2024-12-31
53,50.0,55.0,0.08,0.08,0.15,0.05,0.15,0.0024957126871576474,0.1498720927951791,-0.04390906204101608,0.0011133900606796472,20,10277.573251270076,2014-01-02,2024-12-31
61,50.0,55.0,0.08,0.1,0.15,0.05,0.15,0.0024957126871576474,0.1498720927951791,-0.04390906204101608,0.0011133900606796472,20,10277.573251270076,2014-01-02,2024-12-31
35,50.0,55.0,0.05,0.08,0.12,0.07,0.15,0.0023492371386915067,0.14306419199586282,-0.039933007301098056,0.0011006045608454272,15,10261.090792972142,2014-01-02,2024-12-31
43,50.0,55.0,0.05,0.1,0.12,0.07,0.15,0.0023492371386915067,0.14306419199586282,-0.039933007301098056,0.0011006045608454272,15,10261.090792972142,2014-01-02,2024-12-31
37,50.0,55.0,0.05,0.08,0.15,0.05,0.15,0.0021517121719163423,0.14446826114670225,-0.029746900202210047,0.0009912849087215588,16,10238.901941907778,2014-01-02,2024-12-31
